issue,id,state,labels,assignees,comments,closed_at,created_at,locked,last_update
0,1291571768,open,"[Label(name=""bug""), Label(name=""module:send"")]",[],10,,2022-07-01 15:52:12,False,2022-09-20 07:09:53
1,1274119798,closed,"[Label(name=""bug""), Label(name=""needs tests""), Label(name=""pr"")]",[],1,2022-07-02 20:31:20,2022-06-16 21:52:12,False,2022-07-02 20:31:20
2,1217955271,closed,"[Label(name=""bug""), Label(name=""module:router"")]",[],5,2022-04-29 17:35:29,2022-04-27 22:45:25,False,2022-04-29 20:08:59
3,1145890668,closed,"[Label(name=""bug""), Label(name=""enhancement"")]",[],7,2022-04-24 22:48:05,2022-02-21 14:44:07,False,2022-04-24 22:48:05
4,1043399309,closed,"[Label(name=""bug""), Label(name=""pr"")]",[],1,2021-11-17 05:36:22,2021-11-03 11:02:06,False,2021-11-17 05:36:22
5,576175499,closed,"[Label(name=""bug""), Label(name=""pr""), Label(name=""module:router"")]","[NamedUser(login=""dougwilson"")]",7,2020-05-21 02:16:34,2020-03-05 11:11:24,False,2020-05-21 02:16:43
6,576167692,closed,"[Label(name=""bug""), Label(name=""module:router"")]",[],7,2021-11-17 02:52:45,2020-03-05 10:57:55,False,2021-11-17 02:52:45
7,447645163,closed,"[Label(name=""bug""), Label(name=""4.x"")]","[NamedUser(login=""dougwilson"")]",14,2019-05-25 22:15:56,2019-05-23 12:53:02,False,2019-05-25 22:15:56
8,434758205,closed,"[Label(name=""bug""), Label(name=""pr"")]",[],3,2022-03-27 17:21:48,2019-04-18 13:00:40,False,2022-03-27 17:21:48
9,434754162,closed,"[Label(name=""bug""), Label(name=""4.x"")]",[],27,2022-04-24 22:48:06,2019-04-18 12:51:07,False,2022-04-24 22:48:06
10,264008494,closed,"[Label(name=""bug""), Label(name=""4.x""), Label(name=""pr"")]","[NamedUser(login=""dougwilson"")]",0,2017-10-10 02:12:15,2017-10-09 19:56:55,False,2017-10-10 02:12:15
11,253960821,closed,"[Label(name=""bug""), Label(name=""4.x"")]","[NamedUser(login=""dougwilson"")]",2,2017-09-22 01:17:08,2017-08-30 11:07:45,False,2017-09-22 01:17:08
12,227799989,closed,"[Label(name=""bug""), Label(name=""4.x""), Label(name=""pr"")]","[NamedUser(login=""dougwilson"")]",2,2017-05-15 03:58:48,2017-05-10 20:25:19,False,2017-05-15 03:58:48
13,227461838,closed,"[Label(name=""bug""), Label(name=""4.x""), Label(name=""good first contribution"")]",[],2,2017-05-15 03:58:48,2017-05-09 18:48:48,False,2017-05-15 03:58:48
14,215940482,closed,"[Label(name=""bug""), Label(name=""4.x""), Label(name=""deps""), Label(name=""module:finalhandler""), Label(name=""good first contribution"")]","[NamedUser(login=""dougwilson"")]",5,2017-03-22 06:12:46,2017-03-22 03:12:02,False,2017-03-22 06:34:47
15,165267547,closed,"[Label(name=""bug""), Label(name=""4.x"")]","[NamedUser(login=""dougwilson"")]",10,2017-03-01 22:14:09,2016-07-13 08:41:52,False,2017-03-01 22:14:09
16,157824044,closed,"[Label(name=""bug""), Label(name=""4.x""), Label(name=""pr"")]","[NamedUser(login=""dougwilson"")]",5,2016-06-16 15:06:34,2016-06-01 05:04:39,False,2016-06-16 15:06:34
17,104582632,open,"[Label(name=""bug""), Label(name=""4.x""), Label(name=""5.x"")]","[NamedUser(login=""dougwilson"")]",8,,2015-09-02 22:12:43,False,2016-03-03 09:08:43
